time;type;task;text
2026-04-09T12:21:00+01:00;out;;
2026-04-09T13:25:00+01:00;in;Default;
2026-04-09T16:40:00+01:00;out;;
2026-04-10T08:02:00+01:00;in;Default;
2026-04-10T12:05:00+01:00;out;;
2026-04-13T07:45:00+01:00;in;Default;
2026-04-13T12:00:00+01:00;out;;
2026-04-13T13:04:00+01:00;in;Default;
2026-04-13T16:29:00+01:00;out;;
2026-04-14T08:30:00+01:00;in;Default;
2026-04-14T12:12:00+01:00;out;;
2026-04-14T13:09:00+01:00;in;Default;
2026-04-14T16:58:00+01:00;out;;
2026-04-16T08:01:00+01:00;in;Default;
2026-04-16T12:04:00+01:00;out;;
2026-04-16T13:07:00+01:00;in;Default;
2026-04-16T16:41:00+01:00;out;;
2026-04-17T08:04:00+01:00;in;Default;
2026-04-17T12:23:00+01:00;out;;
2026-04-17T16:59:00+01:00;in;Default;
2026-04-17T18:40:00+01:00;out;;
2026-04-17T18:40:00+01:00;in;Default;
2026-04-17T18:40:00+01:00;out;;
2026-04-17T19:00:00+01:00;in;Default;
2026-04-17T19:07:00+01:00;out;;
2026-04-20T07:57:00+01:00;in;Default;
2026-04-20T12:01:00+01:00;out;;
2026-04-20T13:00:00+01:00;in;Default;
2026-04-20T16:43:00+01:00;out;;
2026-04-21T08:12:00+01:00;in;Default;
2026-04-21T12:15:00+01:00;out;;
2026-04-21T12:58:00+01:00;in;Default;
2026-04-21T17:03:00+01:00;out;;
2026-04-23T08:12:00+01:00;in;Default;
2026-04-23T12:15:00+01:00;out;;
2026-04-23T13:15:00+01:00;in;Default;
2026-04-23T17:00:00+01:00;out;;
2026-04-24T07:51:00+01:00;in;Default;
2026-04-24T12:05:00+01:00;out;;
2026-04-27T07:48:00+01:00;in;Default;
2026-04-27T11:54:00+01:00;out;;
2026-04-27T13:05:00+01:00;in;Default;
2026-04-27T16:02:00+01:00;out;;
2026-04-27T21:00:00+01:00;in;Default;
2026-04-27T21:44:00+01:00;out;;
2026-04-28T07:53:00+01:00;in;Default;
2026-04-28T12:18:00+01:00;out;;
2026-04-28T13:13:00+01:00;in;Default;
2026-04-28T16:30:00+01:00;out;;
2026-04-28T16:38:00+01:00;in;Default;
2026-04-28T17:06:00+01:00;out;;
2026-04-30T07:56:00+01:00;in;Default;
2026-04-30T12:28:00+01:00;out;;
2026-04-30T13:20:00+01:00;in;Default;
2026-04-30T16:05:00+01:00;out;;
2026-05-01T08:09:00+01:00;in;Default;
2026-05-01T08:50:00+01:00;out;;
2026-05-01T10:00:00+01:00;in;Default;
